"(PDH-CSV 4.0) (RTZ 7 (","\\DESKTOP-M5PFFQC\MSSQL$TEW_SQLEXPRESS:SQL Statistics\Batch Requests/sec","\\DESKTOP-M5PFFQC\Память\Доступно МБ","\\DESKTOP-M5PFFQC\Процессор(0)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(1)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(10)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(11)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(2)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(3)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(4)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(5)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(6)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(7)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(8)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(9)\% загруженности процессора","\\DESKTOP-M5PFFQC\Процессор(_Total)\% загруженности процессора","\\DESKTOP-M5PFFQC\Физический диск(0 C: D:)\Среднее время чтения с диска (с)"
"12/02/2025 20:37:15.838","0","1098","100","32.422784478427644217","18.261765509346229663","13.888509651247559873","100","36.275414639133614969","100","48.978681655515480031","100","40.336295078796666758","15.658637022382738024","11.597756582719675578","51.451653384930359891","0.0048876053456627039165"
"12/02/2025 20:37:30.847","0","1119","100","38.786648025737981982","21.29711889023454674","18.069884347373786682","100","37.01687424416917338","100","57.62953358244108415","100","48.468351654320244393","18.590406047835205783","13.59339772340565311","54.454351209626473462","0.0011252669208170118162"
"12/02/2025 20:37:45.832","0","1107","100","38.167256838685545972","19.085651444890359585","13.767826990881859572","100","41.92101527680919304","100","57.457404367932049638","100","46.300400121286763522","18.35575397081076332","13.767826990881859572","54.068594666848198926","0.0013501045350478280659"
"12/02/2025 20:38:00.833","0","1104","100","37.816570941822348573","21.463474857845977084","11.672449176993882958","100","40.524726981206960374","100","56.044544283834220266","100","44.899440583289816686","15.943002931408090106","13.339006739692106152","53.475268485756465964","0.0018778463904431704889"
"12/02/2025 20:38:15.840","0","1095","100","32.323162564451337175","19.620740768856048675","16.080721579919654118","100","38.986728096566899637","100","53.667395909508996965","100","45.129702571485928786","17.954849385827166941","13.373648082497712863","53.094745746592806768","0.0035308845209032651592"
"12/02/2025 20:38:30.847","0","1092","100","35.550832272604850459","19.100156180636453485","13.581891415609081974","100","38.778496569130297189","100","51.064444536549721931","100","43.880288521702759397","17.121910321475695582","11.395409150220881855","52.539451969756477467","0.0027719104707292574821"
"12/02/2025 20:38:45.836","0","1086","100","37.454049992367387745","19.524210990179380332","12.956886239377951142","100","39.955887992672700193","100","53.820240244364590865","100","49.025050743779431173","19.211481240141214499","12.331426739301631912","53.68993651542708534","0.001125663002812747485"
"12/02/2025 20:39:00.851","0","1085","100","36.313610814670163052","18.41482169722452511","13.00355987102003219","100","38.186739908356337025","100","52.443333565856640632","100","44.742691736257931723","17.166068968100411496","11.026368049906842828","52.608099661949644599","0.0025614786596644205895"
"12/02/2025 20:39:15.842","0","1080","100","38.608920104813961416","24.329500842266437388","17.658823230565413809","100","40.172360170056386153","100","53.305256718092785206","100","44.133075002003877785","22.24491408860986752","15.782695152274495598","54.686295108856384672","0.0040231996179818634712"
"12/02/2025 20:39:30.831","0","1079","100","33.388570796716820155","15.667220304450568236","12.748409635136127349","100","33.805543749476029802","100","48.399597096048239564","100","38.079516515257893161","14.729031160742355411","12.43567992056672189","50.771131098444598706","0.0049582899612822216306"
"12/02/2025 20:39:45.844","0","1044","100","31.829825075905649356","16.530564444086003562","11.743040708958762508","100","36.096965796345138244","100","50.147307192914205132","100","38.802957472721409715","17.467253870523936854","11.430810900146115117","51.170726899770016871","0.0077685476267895054933"
"12/02/2025 20:40:00.842","0","1044","100","35.61633438783303518","16.967991111817038785","13.842570451032242929","100","39.887742624238939015","100","51.347618380449887354","100","45.721861191037241667","16.551268357045735513","10.508788412861779449","52.537014465233589533","0.0037324642364419376508"
"12/02/2025 20:40:15.836","0","1020","100","40.496963888740758364","18.508976814352486429","13.611178745649887389","100","36.32862510686619828","100","52.793563295270686808","100","42.789550218771751133","18.508976814352486429","13.715387215196750859","53.06276861942244949","0.003105573613434353588"
"12/02/2025 20:40:30.845","0","1094","100","35.247100462600378989","18.27809302755835219","9.9497458201757709162","100","37.849708964907435416","100","50.342229775981316209","100","42.950821629429270843","17.445258306820100813","12.24004130220597375","52.025250162895808614","0.0045728823414522053875"
"12/02/2025 20:40:45.841","0","1077","100","31.544173462491553295","15.914989321507889031","10.184288469813884248","100","36.441317826666441704","100","45.923022872196526123","100","38.421014484524363297","15.289821955868543313","10.288483030753770464","50.333925729703523189","0.0058426438770511875467"
"12/02/2025 20:41:00.830","0","1082","100","32.137636092247859665","13.895065149303743368","10.559280748308241371","100","33.18006871755895304","100","44.959557383574299649","100","38.809204894238860106","13.373848836648194904","10.97625379843267801","49.824243190745029608","0.007747572867749420375"
"12/02/2025 20:41:15.836","0","1081","100","34.50964718667304254","20.870161942562027946","17.434261079541691686","100","38.153784465633997058","100","47.107950351080930318","100","42.526749200387158112","19.204270615037010828","14.310714840432304129","52.843128417838435951","0.0054740529630098273481"
"12/02/2025 20:41:30.844","0","1091","100","34.722229514638755177","19.834316947801987396","14.628753113243675443","100","39.407236965741240908","100","49.81836463485787192","100","42.634686543167390482","17.543868860596322889","13.067083962876180792","52.638044489983485619","0.003943548944469940469"
"12/02/2025 20:41:45.837","0.26679156424816424797","1086","100","29.341939564576001942","16.419226446592848134","11.521101313163750746","100","38.929758974692532547","100","44.557392106717450986","100","39.45083611654669653","15.585503019626202104","9.853654459230442697","50.47161800025152445","0.0049654138829171492325"
"12/02/2025 20:42:00.849","0","1076","100","29.535452338048084897","15.588259743215648001","10.384083401860266349","100","36.509048635464289134","100","46.917401318175066649","100","37.029466269599829786","14.54742447494457025","10.592250455514474083","50.091948886401851837","0.0062167457070818775075"
"12/02/2025 20:42:15.844","0","1073","100","35.395049850346595122","17.680789325441626403","12.887518830467337594","100","37.270677435336530436","100","55.08913949274093369","100","45.398396970292928643","20.390029170427091287","13.72113109046286894","53.15272756931135234","0.0022430182698604168336"
"12/02/2025 20:42:30.843","0","1081","100","34.058022539730444578","18.848656490442373013","11.973189646243643125","100","41.558531824310875891","100","55.205291772644692117","100","43.225311665328746358","18.119440309997049354","10.306409805225779763","52.774571393397607721","0.0026039406731419218778"
"12/02/2025 20:42:45.829","0","1074","100","35.147721961930436407","18.152671607902558293","13.043730090434058511","100","35.877570750140222344","100","49.64043361352475614","100","46.929566685888410404","16.275917581077393947","10.33286316279770034","52.116705954162803494","0.0038146033905768384105"
"12/02/2025 20:43:00.843","0","1072","100","30.377395693624663409","17.05647887566347265","8.8349755270780363503","100","39.743665331253637873","100","49.214004631522925592","100","43.073894535743939116","16.119851911900575203","10.18788114140222234","51.217345970372043951","0.0052484572197729313994"
"12/02/2025 20:43:15.842","0","1063","100","31.974542749585832979","18.952824286642844243","14.577526883094005683","100","38.850010098019730265","100","50.934164831630823755","100","42.49609126764376299","19.682040520567657182","11.764835695098319945","52.436002916571581522","0.0072343890567720201684"
"12/02/2025 20:43:30.832","0","1054","100","30.995580454970394157","17.757572475787974042","10.669505211343855322","100","34.331141520591160088","100","49.132693749283319562","100","37.353993736309988094","15.985555659676942142","11.607631761049685082","50.65280632526980753","0.0074382721834061141936"
"12/02/2025 20:43:45.845","0","1051","100","32.246142318900147927","15.802041683548717188","8.6207572288699356733","100","39.32335018727923881","100","48.065783436453415334","100","39.115197014679857546","16.946884132845340787","8.932986987769009346","50.754428360498749839","0.0048260648875891069484"
"12/02/2025 20:44:00.830","0","902","100","38.584332502777186846","19.398453352541189076","15.85323655304106083","100","38.375790338100699728","100","56.206145417939580966","100","49.42852506595404094","18.877097940849996149","15.85323655304106083","54.38140147702039684","0.0020657595856676722566"
"12/02/2025 20:44:15.833","0","936","100","40.011926828707913728","23.661011051116155102","19.49517263644309395","100","43.552889481180024234","100","56.258696645932857905","100","51.155544587958360125","21.161508002312313437","16.37079382543829098","55.972295588191158799","0.00081370510886619499234"
"12/02/2025 20:44:30.843","0","952","100","38.166138892246472381","20.573676725225688244","11.829494346351443923","100","40.768574124054282493","100","55.758601059267256517","100","42.746424900228205956","20.677774134497994396","12.34998139271300488","53.572555464548699433","0.0015882774095721217955"
"12/02/2025 20:44:45.841","0","947","100","36.866504335933470315","20.09341390373098335","12.071501088329783968","100","38.220853252819388501","100","52.701968594907256715","100","40.929551086591217768","17.488896755873451383","9.9878873700437580396","52.363381032307579233","0.0030589769608468306283"
"12/02/2025 20:45:00.833","0","934","100","33.818787072651879555","19.123431131303714636","13.182755325226791498","100","36.632791401846212409","100","51.119702578068860532","100","42.156577677672110838","15.996759654421122576","11.515197204222749505","51.962166948288327717","0.0040383763793043047502"
"12/02/2025 20:45:15.844","0","939","100","36.504823231859425903","21.619888350147785872","14.229466136151103228","100","42.125707732645643944","100","51.806119928444125833","100","40.564350926871696856","18.809446099754680404","15.478551580770261609","53.428196276583548752","0.0015288466969514533014"
"12/02/2025 20:45:30.833","0","950","100","36.932834163060668686","19.628454776396331738","12.539913822822978062","100","43.500158870047741289","100","55.800862289483845302","100","46.210483352296371606","17.543589790051228761","14.312049061216313817","53.872362177114617054","0.0010371718848440024657"
"12/02/2025 20:45:45.837","0","947","100","41.265591636044298696","22.520567690100989466","12.419082563675976516","100","43.556650118326260213","100","54.491247420126519785","100","49.700852411718784651","17.938450725537069985","12.939777673285512094","54.569351353323078513","0.0014462046769011067601"
"12/02/2025 20:46:00.851","0","928","100","37.558197425114528301","18.929726323607031446","14.975078827197618736","100","42.657611302063514813","100","52.75236938500332684","100","46.404119456556635726","18.617517310732601743","13.934382117616195274","53.819083845347236661","0.00093067956133368711768"
"12/02/2025 20:46:15.847","0","930","100","36.753891387398915924","18.311451149457582233","14.45625177768452474","100","38.421004629246709783","100","56.655055711957082565","100","45.714625062330860317","17.790478261380137326","12.684943958221239768","53.398974828050441488","0.0013848861774594357042"
"12/02/2025 20:46:30.832","0","945","100","34.622037481983788609","19.398460882892297974","12.725112236715208525","100","37.958711805072340439","100","56.310420582059350636","100","49.637071935882246976","19.189918737699262152","14.289178325662966529","53.677576332664720837","0.00073947513976480949791"
"12/02/2025 20:46:45.839","0.26654334061687445789","937","100","41.173211712780791061","20.245451631840861495","12.332467720639694875","100","40.652620665991243243","100","55.749761022888201012","100","47.316186064897493679","19.516624166335493129","12.957176976787154743","54.161957997001806575","0.00098433428982851157128"
"12/02/2025 20:47:00.848","0","1011","100","38.8907584730980318","24.107943657390904946","17.445266557353900083","100","44.40828794656618328","100","61.169085026346792233","100","50.758652057538952818","22.234065723005503656","16.924744908913513797","56.328233695851146479","0.00055324877313195168754"
"12/02/2025 20:47:15.835","0","997","100","40.052137917164976955","19.200707627483225792","16.385764538376189847","100","42.137280946133145676","100","57.046053603255600706","100","46.099052701172681168","17.636850355757093922","15.134678720995287549","54.474377645692030114","0.0010729682894535825122"
"12/02/2025 20:47:30.844","0","1016","100","40.244107194492897861","19.215029935411997997","12.864665020541032447","100","44.30417656629563794","100","52.840732681368088208","100","47.427306852297753892","17.965777821011151616","14.322125820675356778","54.098659602451327544","0.0010635922350548413992"
"12/02/2025 20:47:45.839","0","1001","100","37.270683292032401823","21.015245739801603264","13.721139145851878993","100","41.021938111777977554","100","55.193345208594578821","100","45.919409682001358419","19.035416807158100028","14.763154373558984744","53.995027696731412448","0.0011518515247535478663"
"12/02/2025 20:48:00.842","0","984","100","40.636795468740359638","21.057352570710861528","14.496156280413751816","100","42.094839088806388361","100","58.133318909532682994","100","48.447743433379784506","16.995659629098369692","15.121032117584897847","54.748574791522266025","0.0012923020347514121986"
"12/02/2025 20:48:15.841","0","979","100","39.162534180405096151","24.161515211189911412","16.348484498057004544","100","39.787576637455721595","100","57.913807891924072635","100","47.079738636379772743","25.203252639607633512","14.473357126905106895","55.344189346301661203","0.0013024838402982755192"
"12/02/2025 20:48:30.832","0","987","100","36.94125280511156717","17.34613797430325377","13.489652608665448241","100","39.963903497097952311","100","55.806762296474879292","100","46.426122217896434563","17.34613797430325377","12.134671263981900324","53.287886497463645696","0.0010549653144547096063"
"12/02/2025 20:48:45.843","0","971","100","37.96209536988317268","18.184911007933180827","11.419032147266083399","100","39.731632918057648851","100","53.263390639391850812","100","45.352516894611859755","16.935825679810022848","10.898579927214768759","52.81233227074033465","0.0015198912156842827106"
