"(PDH-CSV 4.0) (RTZ 7 (","\\DESKTOP-M5PFFQC\MSSQL$TEW_SQLEXPRESS:SQL Statistics\Batch Requests/sec","\\DESKTOP-M5PFFQC\Память\Доступно МБ","\\DESKTOP-M5PFFQC\Процессор(_Total)\% загруженности процессора","\\DESKTOP-M5PFFQC\Физический диск(0 C: D:)\Среднее время чтения с диска (с)"
"12/01/2025 22:40:48.684","0","2212","45.697257933382076089","0.00051578500000000004986"
"12/01/2025 22:41:03.670","0","2196","47.207604579189009542","0.00031761360544217687174"
"12/01/2025 22:41:18.676","0","2217","46.037143561966566097","0.00026635384615384614373"
"12/01/2025 22:41:33.677","0","2185","45.880275790761452015","0.00016567261904761905597"
"12/01/2025 22:41:48.686","0","2142","46.577125078796989044","0.00015705123966942150025"
"12/01/2025 22:42:03.671","0","2124","49.185233217474888079","0.00020047298850574713381"
"12/01/2025 22:42:18.675","0","2123","46.073340854359379648","0.00018026760563380280649"
"12/01/2025 22:42:33.683","0","2249","48.412864461915297909","0.00022761750000000000732"
"12/01/2025 22:42:48.696","0","2232","46.903590423370665974","0.00025609999999999999085"
"12/01/2025 22:43:03.687","0","2194","49.483515461949878045","0.00026840687890847069299"
